Task ID|Priority|Phase|Category|Title|Component / File|Effort|Status|Acceptance Criteria
ADM-BE-001|P0 - Critical|Phase 1: Backend Auth|Security|PasswordHasher Port & Service|backend/src/modules/identity/application/password-hasher.ts|1.5h|Completed|Argon2/bcrypt hasher implemented; passwords hashed and verified correctly
ADM-BE-002|P0 - Critical|Phase 1: Backend Auth|Security & Auth|Admin Login in LoginService|backend/src/modules/identity/application/login.service.ts|2h|Completed|Admin email/password login issues SessionBundle; 3-strike lockout; audit logged
ADM-BE-003|P0 - Critical|Phase 1: Backend Auth|API Controller|AuthController Admin Endpoints|backend/src/modules/identity/controller/auth.controller.ts|1.5h|Completed|Login, refresh, and logout routes serve admin sessions with 2FA deviation tag
ADM-BE-004|P1 - High|Phase 1: Backend Auth|API Controller|MeController Admin Branch|backend/src/modules/identity/controller/me.controller.ts|1h|Completed|GET /v1/me returns admin identity profile (displayName)
ADM-BE-005|P0 - Critical|Phase 1: Backend Auth|Security Guard|@AdminOnly Decorator & AuthGuard Enforcement|backend/src/edge/auth/|1.5h|Completed|Non-admin viewers on /v1/admin/* receive 404 NOT_FOUND; admin viewers pass
ADM-BE-006|P1 - High|Phase 1: Backend Auth|DTO & Presenter|SessionBundle & Me Presenters|backend/src/modules/identity/presenter/|0.5h|Completed|Clean DTO serialization matching API-Route-Inventory.md
ADM-BE-007|P0 - Critical|Phase 2: Backend Taxonomy|Database Repository|TaxonomyRepository Implementation|backend/src/modules/taxonomy/repository/taxonomy.repository.ts|2.5h|Completed|Self-referential tree queries, mutations, and reference counting for categories & regions
ADM-BE-008|P0 - Critical|Phase 2: Backend Taxonomy|Business Logic|TaxonomyService Business Rules & Audit Logging|backend/src/modules/taxonomy/application/taxonomy.service.ts|2.5h|Completed|2-level maximum tree depth enforced; blank names rejected; deactivate-only; mutations audited in tx
ADM-BE-009|P0 - Critical|Phase 2: Backend Taxonomy|API Controller|AdminTaxonomyController Endpoints|backend/src/modules/taxonomy/controller/admin-taxonomy.controller.ts|2h|Completed|GET, POST, PATCH, and /deactivate for categories & regions with Zod validation
ADM-BE-010|P1 - High|Phase 2: Backend Taxonomy|Architecture|Register TaxonomyModule|backend/src/app.module.ts|0.5h|Completed|TaxonomyModule registered in root AppModule
ADM-BE-011|P1 - High|Phase 2: Backend Taxonomy|Quality Assurance|Taxonomy & Auth Unit Test Suites|backend/src/modules/taxonomy/application/taxonomy.service.spec.ts|2h|Completed|Vitest suites pass covering 2-level depth, blank names, reference protection, and admin auth
ADM-BE-012|P0 - Critical|Phase 3: Seeding & Verification|Database Seed|Seed Script for Admin & UAE Taxonomy|backend/prisma/seed/index.ts|2h|Completed|Idempotent seed of Super Admin, 7 Emirates with areas, and 2-level gold categories
ADM-BE-013|P1 - High|Phase 3: Seeding & Verification|Quality Assurance|Backend CI Verification & Smoke Test|backend/|1h|Partial|npm test, npm run lint, and HTTP endpoint verification passing green
ADM-FE-001|P1 - High|Phase 4: Frontend Setup|Project Architecture|Flatten kh_admin Project Structure|apps/kh_admin/|1h|Completed|Clean project root at apps/kh_admin with unified pubspec.yaml (name: kh_admin)
ADM-FE-002|P0 - Critical|Phase 4: Frontend Setup|Dependencies|Add Frontend Dependencies|apps/kh_admin/pubspec.yaml|0.5h|Completed|flutter_riverpod, go_router, dio, freezed, secure storage, and intl installed cleanly
ADM-FE-003|P0 - Critical|Phase 4: Frontend Setup|Design System|Admin Design Tokens & ThemeExtension|apps/kh_admin/lib/core/design/theme/|2h|Completed|Sapphire/gold/cream tokens with context.kh ThemeExtension; no sweep animations
ADM-FE-004|P0 - Critical|Phase 5: Frontend Plumbing|Network & API|Typed ApiClient with Envelope Handling|apps/kh_admin/lib/core/api/api_client.dart|2h|Completed|Dio client unwraps {data, meta} and maps errors to ApiException; Bearer interceptor
